"FID","id","nome","uf","codigo_ibg","codigo_mun","ano","populacao","agua","esgoto","taxa_esgoto","taxa_agua"
"223",222,2740,"São Domingos do Cariri","PB",2513943,251394,2015,2563,1751,800,0.312134217713617,0.683183769020679
"224",223,2808,"Bonito","PE",2602308,260230,2015,38094,32321,0,0,0.848453824749304
"225",224,2813,"Buíque","PE",2602803,260280,2015,56523,17066,0,0,0.301930187711197
"226",225,2816,"Cachoeirinha","PE",2603108,260310,2015,19951,17392,0,0,0.871735752593855
"227",226,2828,"Caruaru","PE",2604106,260410,2015,347088,339749,152841,0.440352302586088,0.978855506384548
"228",227,2829,"Casinhas","PE",2604155,260415,2015,14219,1670,0,0,0.117448484422252
"229",228,2835,"Correntes","PE",2604700,260470,2015,17968,12129,0,0,0.67503339269813
"230",229,2839,"Custódia","PE",2605103,260510,2015,36184,21359,0,0,0.590288525315056
"231",230,2837,"Cumaru","PE",2604908,260490,2015,13132,7009,0,0,0.533734389278099
"232",231,2843,"Feira Nova","PE",2605400,260540,2015,21710,18432,0,0,0.849009672961769
"233",232,2846,"Flores","PE",2605608,260560,2015,22588,12911,0,0,0.571586683194617
"234",233,2847,"Floresta","PE",2605707,260570,2015,31809,27172,0,0,0.854223647395391
"235",234,2848,"Frei Miguelinho","PE",2605806,260580,2015,15137,6063,0,0,0.40054171896677
"236",235,2850,"Garanhuns","PE",2606002,260600,2015,136949,136949,13707,0.10008835405881,1
"237",236,2856,"Ibimirim","PE",2606606,260660,2015,28604,15556,0,0,0.543840022374493
"238",237,2861,"Inajá","PE",2607000,260700,2015,21932,13264,5021,0.228934889658946,0.604778405982127
"239",238,2864,"Ipubi","PE",2607307,260730,2015,29721,16799,8162,0.2746206386057,0.565223242824939
"240",239,2866,"Itaíba","PE",2607505,260750,2015,26412,17700,0,0,0.670149931849159
"241",240,2868,"Itapetim","PE",2607703,260770,2015,13780,9351,0,0,0.678592162554427
"242",241,2877,"Jucati","PE",2608255,260825,2015,11202,3985,0,0,0.355740046420282
