FID;id;nome;uf;codigo_ibg;codigo_mun;ano;populacao;agua;esgoto
376;2587;Belém do Brejo do Cruz;PB;2502003;250200;2015;7320;5130;7320
377;2773;Taperoá;PB;2516508;251650;2015;15376;0;0
378;2588;Bernardino Batista;PB;2502052;250205;2015;3356;0;0
379;3816;São José do Seridó;RN;2412401;241240;2015;4567;2972;2827
380;3817;São Miguel;RN;2412500;241250;2015;23274;15231;0
381;2776;Tenório;PB;2516755;251675;2015;3011;1200;1
382;2777;Triunfo;PB;2516805;251680;2015;9447;0;0
383;2610;Campina Grande;PB;2504009;250400;2015;405072;405072;357612
384;3806;Santana do Seridó;RN;2411429;241142;2015;2675;1626;1751
385;3821;São Rafael;RN;2412807;241280;2015;8347;5733;4977
386;2956;Toritama;PE;2615409;261540;2015;42123;34414;0
387;2602;Cacimba de Areia;PB;2503407;250340;2015;3713;1869;0
388;2613;Caraúbas;PB;2504074;250407;2015;4115;1918;2318
389;2614;Carrapateira;PB;2504108;250410;2015;2601;0;0
390;2617;Catolé do Rocha;PB;2504306;250430;2015;30179;22542;5803
391;2778;Uiraúna;PB;2516904;251690;2015;15228;12794;0
