id;nome;uf;populacao;pib;estado_id;codigo_ibg;OID_;MUNICIPIO;UF_1;MUNICIPI_1;UF_12
3776;Para├║;RN;3859;16929;20;2408706;274;├ügua Nova;RN;Para├║;RN
3769;Mossor├│;RN;259815;3496776;20;2408003;274;├ügua Nova;RN;Mossor├│;RN
3838;Tibau;RN;3687;32908;20;2411056;274;├ügua Nova;RN;Tibau;RN
2818;Cal├ºado;PE;11125;55976;16;2603306;0;Araripina;PE;Cal├ºado;PE
2620;Condado;PB;6584;34732;15;2504504;161;Aparecida;PB;Condado;PB
2781;Vieir├│polis;PB;5045;19722;15;2517209;161;Aparecida;PB;Vieir├│polis;PB
2935;S├úo Jo├úo;PE;21312;103706;16;2613206;0;Araripina;PE;S├úo Jo├úo;PE
3823;S├úo Vicente;RN;6028;27951;20;2413003;274;├ügua Nova;RN;S├úo Vicente;RN
3799;Riachuelo;RN;7067;33405;20;2410900;274;├ügua Nova;RN;Riachuelo;RN
3842;Triunfo Potiguar;RN;3368;17747;20;2414456;274;├ügua Nova;RN;Triunfo Potiguar;RN
3843;Umarizal;RN;10659;62298;20;2414506;274;├ügua Nova;RN;Umarizal;RN
3844;Upanema;RN;12992;89781;20;2414605;274;├ügua Nova;RN;Upanema;RN
3845;V├írzea;RN;5236;26155;20;2414704;274;├ügua Nova;RN;V├írzea;PB
3846;Venha-Ver;RN;3821;17118;20;2414753;274;├ügua Nova;RN;Venha-Ver;RN
3848;Vi├ºosa;RN;1618;9000;20;2414902;274;├ügua Nova;RN;Vi├ºosa;RN
3837;Tenente Laurentino Cruz;RN;5406;27868;20;2414159;274;├ügua Nova;RN;Tenente Laurentino Cruz;RN
2819;Calumbi;PE;5648;24667;16;2603405;0;Araripina;PE;Calumbi;PE
2817;Caet├®s;PE;26577;105518;16;2603207;0;Araripina;PE;Caet├®s;PE
3726;Frutuoso Gomes;RN;4233;21606;20;2404002;274;├ügua Nova;RN;Frutuoso Gomes;RN
3730;Grossos;RN;9393;119019;20;2404408;274;├ügua Nova;RN;Grossos;RN
3724;Flor├ónia;RN;8959;45332;20;2403806;274;├ügua Nova;RN;Flor├ónia;RN
2661;Lagoa;PB;4681;22664;15;2508109;161;Aparecida;PB;Lagoa;PB
3716;Currais Novos;RN;42652;338680;20;2403103;274;├ügua Nova;RN;Currais Novos;RN
3718;Encanto;RN;5231;24973;20;2403301;274;├ügua Nova;RN;Encanto;RN
3744;Jardim do Serid├│;RN;12113;70799;20;2405702;274;├ügua Nova;RN;Jardim do Serid├│;RN
3748;Jucurutu;RN;17692;104194;20;2406106;274;├ügua Nova;RN;Jucurutu;RN
3753;Lagoa Nova;RN;13983;64893;20;2406502;274;├ügua Nova;RN;Lagoa Nova;RN
3760;Macau;RN;28954;454248;20;2407203;274;├ügua Nova;RN;Macau;RN
3762;Marcelino Vieira;RN;8265;42046;20;2407302;274;├ügua Nova;RN;Marcelino Vieira;RN
3763;Martins;RN;8218;37567;20;2407401;274;├ügua Nova;RN;Martins;RN
3805;Santana do Matos;RN;13809;66841;20;2411403;274;├ügua Nova;RN;Santana do Matos;RN
3810;S├úo Fernando;RN;3401;34092;20;2411809;274;├ügua Nova;RN;S├úo Fernando;RN
3811;S├úo Francisco do Oeste;RN;3874;19839;20;2411908;274;├ügua Nova;RN;S├úo Francisco do Oeste;RN
3812;S├úo Gon├ºalo do Amarante;RN;87668;953855;20;2412005;274;├ügua Nova;RN;S├úo Gon├ºalo do Amarante;CE
3813;S├úo Jo├úo do Sabugi;RN;5922;35384;20;2412104;274;├ügua Nova;RN;S├úo Jo├úo do Sabugi;RN
2771;Sousa;PB;65803;586365;15;2516201;161;Aparecida;PB;Sousa;PB
3733;Ipangua├ºu;RN;13856;87684;20;2404705;274;├ügua Nova;RN;Ipangua├ºu;RN
2821;Camocim de S├úo F├®lix;PE;17104;91817;16;2603504;0;Araripina;PE;Camocim de S├úo F├®lix;PE
3735;Itaj├í;RN;6932;52790;20;2404853;274;├ügua Nova;RN;Itaj├í;RN
3725;Francisco Dantas;RN;2874;15821;20;2403905;274;├ügua Nova;RN;Francisco Dantas;RN
3729;Governador Dix-Sept Rosado;RN;12374;142763;20;2404309;274;├ügua Nova;RN;Governador Dix-Sept Rosado;RN
2692;Ouro Velho;PB;2928;14955;15;2510600;161;Aparecida;PB;Ouro Velho;PB
2656;Juarez T├ívora;PB;7459;30582;15;2507606;161;Aparecida;PB;Juarez T├ívora;PB
